TIME P_Ch0_mesh1 P_Ch0_mesh2 P_Ch0_mesh3 P_Ch0_mesh4 P_Ch0_mesh5 P_Ch0_mesh6 P_Ch0_mesh7 P_Ch0_mesh8 P_Ch0_mesh9 P_Ch0_mesh10 P_Ch0_mesh11 P_Ch0_mesh12 P_Ch0_mesh13 P_Ch0_mesh14 P_Ch0_mesh15 
2.274054362504220080e+03 7.510907037337429356e+05 7.483768762210139539e+05 7.450094507951302221e+05 7.417063360192961991e+05 7.383961453733067028e+05 7.350781571055178065e+05 7.317520547216881532e+05 7.284177784733739682e+05 7.250754083445697324e+05 7.217250948582639685e+05 7.183670325551871210e+05 7.150014675093772821e+05 7.116287124938193010e+05 7.082489941717699403e+05 7.055762639944979455e+05
2.324054362504220080e+03 7.482028672068185406e+05 7.454667475624448853e+05 7.420767467688525794e+05 7.387339168177470565e+05 7.353808138900487684e+05 7.320180617431651335e+05 7.286462107345353579e+05 7.252658510493988870e+05 7.218776349378705490e+05 7.184822582857456291e+05 7.150804201673516072e+05 7.116727455435555894e+05 7.082596486942202318e+05 7.048410914960799273e+05 7.021386116089444840e+05
2.374054362504220080e+03 7.318151980746294139e+05 7.289850181656136410e+05 7.254504121795756510e+05 7.219946521889267024e+05 7.185294663529252866e+05 7.150556812238942366e+05 7.115740456741683884e+05 7.080853002981186146e+05 7.045901968977777287e+05 7.010895231562604895e+05 6.975841280602557817e+05 6.940749404855355388e+05 6.905629880141007015e+05 6.870494100256715901e+05 6.842762376012662426e+05
2.424054362504220080e+03 7.071264189743270399e+05 7.042866420887388522e+05 7.007354550461681793e+05 6.972620104044177569e+05 6.937807416218481958e+05 6.902940342182504246e+05 6.868032607913721586e+05 6.833093117696787231e+05 6.798128238973477855e+05 6.763142783014930319e+05 6.728140503007839434e+05 6.693124444945885334e+05 6.658097198938896181e+05 6.623060902235002723e+05 6.595406936546011129e+05
2.474054362504220080e+03 7.428927798770713853e+05 7.401376217924982775e+05 7.367139984703608789e+05 7.333478574376924662e+05 7.299668575179405743e+05 7.265713110683310078e+05 7.231625482006862294e+05 7.197423609305099817e+05 7.163126214663048740e+05 7.128750371126632672e+05 7.094310078164169099e+05 7.059815559097626247e+05 7.025273137838061666e+05 6.990684368803519756e+05 6.963346794842773816e+05
2.524054362504220080e+03 7.473991225815879880e+05 7.446477707199655706e+05 7.413392408061918104e+05 7.379930144905685447e+05 7.346407750019353116e+05 7.312806457886147546e+05 7.279107329316876130e+05 7.245294410400614142e+05 7.211356998116074828e+05 7.177290156396556413e+05 7.143093103414429352e+05 7.108765205620314227e+05 7.074299525870763464e+05 7.039678017028365284e+05 7.012250102095147595e+05
2.574054362504220080e+03 7.243363745813365094e+05 7.216105582610204583e+05 7.181940841451116139e+05 7.148694042614429491e+05 7.115313643669355661e+05 7.081789190097812098e+05 7.048123325962345116e+05 7.014324705655985745e+05 6.980403030005646870e+05 6.946366987425658153e+05 6.912224118672088953e+05 6.877981538204740500e+05 6.843646867385883816e+05 6.809229050191139104e+05 6.782024900577536318e+05
2.624054362504220080e+03 7.062299066576195182e+05 7.034083857337731170e+05 6.998870160904079676e+05 6.964370130859627388e+05 6.929742686459717806e+05 6.894996300516721094e+05 6.860138883881299989e+05 6.825178571262151236e+05 6.790123795414797496e+05 6.754983410710459575e+05 6.719766951715869363e+05 6.684484577634665184e+05 6.649145929275995586e+05 6.613757864381241379e+05 6.585800096985537093e+05
2.674054362504220080e+03 7.114357420854027150e+05 7.087047109396137530e+05 7.052752261843386805e+05 7.019444331728038378e+05 6.985999736043954035e+05 6.952403225811151788e+05 6.918654331720875343e+05 6.884761776363884564e+05 6.850738258969082963e+05 6.816597098847468151e+05 6.782350594202865614e+05 6.748009524341032375e+05 6.713583334882189520e+05 6.679080692043093732e+05 6.651812800726435380e+05
2.724054362504220080e+03 7.236713632514920318e+05 7.208547056617559865e+05 7.173171127303595422e+05 7.138694649953615153e+05 7.104079580645647366e+05 7.069334595035648672e+05 7.034464591416752664e+05 6.999472580583977979e+05 6.964361424322131788e+05 6.929135343478494324e+05 6.893801231605128851e+05 6.858369370038618799e+05 6.822852782177702757e+05 6.787265571939556394e+05 6.759144093910898082e+05
2.774054362504220080e+03 7.303925892365049804e+05 7.276481972917434759e+05 7.243589684707712149e+05 7.210094215847185114e+05 7.176452786851217970e+05 7.142650079066929175e+05 7.108684369878951693e+05 7.074564263134350767e+05 7.040303913566723932e+05 7.005918915690031135e+05 6.971423582801186712e+05 6.936829122882086085e+05 6.902141718461812707e+05 6.867361600165598793e+05 6.839864711819401709e+05
2.824054362504220080e+03 7.422783667507634964e+05 7.394920674963450292e+05 7.359716811995719327e+05 7.325659434977801284e+05 7.291458871354124276e+05 7.257109432943235151e+05 7.222611603082476649e+05 7.187971539621591801e+05 7.153199276681764750e+05 7.118306795878305566e+05 7.083306253945160424e+05 7.048208145247860812e+05 7.013019400904976064e+05 6.977742871171383886e+05 6.949853386344882892e+05
2.874054362504220080e+03 7.219178545314430958e+05 7.191021116371423705e+05 7.157476865557587007e+05 7.123001123556328239e+05 7.088378219523486914e+05 7.053621401977678761e+05 7.018740380561630009e+05 6.983744196492977208e+05 6.948643262630406534e+05 6.913450214674595045e+05 6.878179656391886529e+05 6.842846981915842043e+05 6.807467088531955378e+05 6.772056793813654222e+05 6.744127128690727986e+05
2.924054362504220080e+03 7.330235311045249691e+05 7.302814923142677872e+05 7.268615334450327791e+05 7.235280302710568067e+05 7.201889461946593365e+05 7.168417705318853259e+05 7.134839939491096884e+05 7.101135930966127198e+05 7.067293139584534802e+05 7.033307136627797736e+05 6.999180291705419077e+05 6.964919746518522734e+05 6.930535494585991837e+05 6.896038954158239067e+05 6.868757024873263435e+05
2.974054362504220080e+03 7.404431104649535846e+05 7.376651355029731058e+05 7.342989314925206127e+05 7.309067050361405127e+05 7.275010386011799565e+05 7.240815167963551357e+05 7.206481693520604167e+05 7.172012397801616462e+05 7.137410333934716182e+05 7.102678374745849287e+05 7.067818780777321663e+05 7.032832926025751512e+05 6.997721663216026500e+05 6.962489430282686371e+05 6.934627518759683007e+05
3.024054362504220080e+03 7.255061109698999207e+05 7.226904435257718433e+05 7.190512485003869515e+05 7.155899986459853826e+05 7.121089005912168650e+05 7.086111017555778380e+05 7.050988812471830752e+05 7.015738291473645950e+05 6.980371530129120219e+05 6.944898993205634179e+05 6.909330889486114029e+05 6.873678068541022949e+05 6.837952712116077309e+05 6.802168773662521271e+05 6.773902183679665904e+05
3.074054362504220080e+03 7.165483107575702015e+05 7.137446187547262525e+05 7.102082004247929435e+05 7.067722976388413226e+05 7.033197626435129205e+05 6.998518566692463355e+05 6.963701401059085038e+05 6.928762008951244643e+05 6.893715195056108059e+05 6.858574294184027240e+05 6.823351111087623285e+05 6.788055840480137849e+05 6.752697009607956279e+05 6.717282101782759419e+05 6.689303383104919922e+05
3.124054362504220080e+03 7.311187639268223429e+05 7.283179059621642809e+05 7.248448370595001616e+05 7.214254580978429876e+05 7.179929084340051049e+05 7.145466615086751990e+05 7.110867239836972440e+05 7.076134529336015694e+05 7.041273796143571381e+05 7.006290454618441872e+05 6.971188289825192187e+05 6.935967786331576062e+05 6.900626074015100021e+05 6.865161978912578197e+05 6.837099365135980770e+05
3.174054362504220080e+03 7.289708578654465964e+05 7.262056087946586777e+05 7.227538753138566390e+05 7.193792530682538636e+05 7.159900191854763543e+05 7.125845897743130336e+05 7.091626726842712378e+05 7.057248921977402642e+05 7.022723607301656157e+05 6.988063755863585975e+05 6.953282716068892041e+05 6.918393629671875387e+05 6.883408182913264027e+05 6.848331420369691914e+05 6.820580279925587820e+05
3.224054362504220080e+03 7.252047818584489869e+05 7.224222331053462112e+05 7.192848000618957449e+05 7.158858322335483972e+05 7.124735218098193873e+05 7.090476508528717095e+05 7.056083130116629181e+05 7.021558093512124615e+05 6.986905372826617677e+05 6.952129226733674295e+05 6.917234371764402604e+05 6.882227393050905084e+05 6.847119940456795739e+05 6.811935363834687741e+05 6.784164830719672609e+05
